INDICE#START#END#START_VALS#SOLVING_TIME#DIFFICULTY#SIZE
[1]#11223344|||#1234342121434312#4#0.0#25#4
[2]#---5-127995--863-4-74-92-8---945--2-735-29-6---8-6359786----74---327--56-27--4-3-#386541279952786314174392685619457823735829461248163597861935742493278156527614938#45#0.0#37#9
[3]#|1122||1244#3421124341322314#4#0.0#14#4
[4]#|1122|2432|#4312123434212143#4#0.0#13#4
[5]#356c7b8eb2d9|1b5g7abdd1ef|4164dcf3|1c22538591f6|317g9aacdfge|2542e8g7|5b657fa8c2g9|1e3d689bfa|6a748c9da1b7g8|2c4a7281cbffg6|1d245889b3db|768f94agb9ecf7|2f325e96bgc9dae5f4g1|2g697dde|164d5faeb1d8|7592bfc4edgg#4d561cbef7239g8ab3e7g6a289dc1f54g8f1947d56aecb32c2a93f8514bg7e6d39184dg6ac57f2bef5b2ce1a936d48g7a7c4b5f3g8e261d9e6dg2897bf4153ac2b635a4cd17fg9e89cga7321e58bd4f6d47f8ge9c236ba15518edb6f4g9a2c738f2ce73b6dg9a5411g35a9d47bc8e62f6a4df2cg3e15879b7e9b61582af43dcg#96#37.094#97934#16
[6]#1192|2289|3376|4467|56|4561|3477|2388|1299#169753842725648193483192657512487936378269514946531278894316725637925481251874369#17#70.469#136087#9
[7]#1546|2284|315273|1948|375471|6996|345772|2381|6598#543681972629753841781924365912867534367542189458319726894176253235498617176235498#21#1.0#1864#9
[8]#3a4b5269aceffdge|14496c7g96a2d8eaf7|259abfcef9gb|47|13226e84b5egf6|57637aadb4d1g9|114c6f8gb8|1b3879d7fe|667488bdcgdb|1d3e4382b9c7|29425g7f98e1g3|1a28377c859ba6d4e9g2|1e2334a7g5|5eb6daf2|3546627b8ffg|2g566487b3gf#g1ab29634c785fde4ef95cgd62b38a71253d4871agfec69b86c7faeb591d243g329a8ed4715bfg6c5fge73a6cd421b89176cbf2gea89354dbd84159c3fg672eafc15964823dgbea7d4e3ab12f597g8c669b2g7fe84acd153a87g3dc5b6e149f2e341cg8a972f6db5cbdfe139g865a7247a56d2bf1ec493g89g286457db3aec1f#98#1.281#2091#16
[9]#4298|172199|365975|385695|6273|2476|395385|1461|67#935216478714385269826794513278163945691542387543879621169438752457921836382657194#21#0.5#709#9
[10]#2d3c5374889ac5f2|418ea9b2|174b7982e4f5gd|758aagbdc1fcg3|2a3e52a8b6cgedg5|3948618b9de7ge|154f5c688da1ebfa|334g657e8fccd4g6|2e86a5fb|445a8199f7gf|1a3f5e9gbcc7d6f3|12647b9eb8eg|344e7185b3d2ec|91c9dgg7|327396dff4|1c3d586fdb#fdc93g48ae75162b4351d7ceb926afg87gab1692c3f8e45de862fb5a4gd179c3baec2374f86g9d156298g1abd453c7fe547fc86d219e3bagd13g95ef7bac42869egd7cf635148ab23c84adg196b25e7fabf5e289gdc76134261754b3ea8fdg9cg74e69158f3b2cda8fb34adc12e9g567152abe376cgdf849c9d68f2g574ab3e1#102#4.047#6737#16
[11]#194773|255281|3799|134677|265583|326896|114476|245688|366394#924715368653829417817346529381694752469257831572138946138472695745961283296583174#26#0.312#752#9
[12]#3559618497|21|29345863|1527335486|18244267|117788|123649|1955|28577982#325691847718425693694783152573148269849267531162539784256914378937852416481376925#31#0.0#51#9
[13]#132746|34|25587189|65|295183|44|28355387|76|678492#378691425914572863652384197843925716596718234721463589485236971237149658169857342#21#0.094#119#9
[14]#1122456776|1874|85|7998|52|173382|4896|39466378|276294#124597683835261479967348251241735968586129347793486125312854796459673812678912534#23#0.078#86#9
[15]#1721386286|94|1557|12296376|6985|4498|13477895|5189|394268#718942563926385174534671289297853641483169752165427938341796825872514396659238417#25#0.141#253#9
[16]#6679|2276|47558294|3499|326386|1529|2877|255198|115369#438126975725394681961758324674582139812943567593671842289465713356217498147839256#23#0.094#88#9
[17]#132946|32|24537885|65|265189|44|21355683|77|678892#398654271572189643641732859183975426264813597957426318715268934829341765436597182#21#0.125#240#9
[18]#3371|264289|325864|21396687|173851|95|3763|1362|28475593#873569142461237598952184637519326874738415269246978315127893456395642781684751923#24#0.188#356#9
[19]#99|36517792|1483|6172|265285|324867|2394|385776|1941#713642589896513742425798136389451267167329458542867391631285974258974613974136825#22#0.469#765#9
[20]#abg6|8ebac9d7ecfb|114bb4c6g3|2d5673a5eega|36486f8ab5de|39557d97bef2|246993c2edf6gc|273c536e8894cd|496db7dff8gb|5f76a2bdcef3|283452778cd5|1a264e6bb8cc|1c324a59cf|5d6caac5db|154d7f92b6dg|374f637bbgdafeg4#8g3c4a9feb27d1564256g18ed3a97cbf1aeb75cdfg4682939df7623b15c84egad368cf2a915geb47bf9156d47cea3g28e4a5b9g738f21d6cg7c23e1846bd9fa52c19eda5g473f68b75bgf869a2dec431f8432g7c691b5adea6de1b435f8c297gce2a945gb73f681d31g4dce68a95b7f25b8da7f12e64g3c9697f83b2cdg1a5e4#93#3.969#6715#16
